1,0.00,,"[1,0,5.00,0,1]
[2,0,100.00,0,25]"
2,5.00,"[1,0,5.00,1,9] вошёл в канал","[3,0,6.10,0,1]
[1,0,6.73,9,18]
[2,0,100.00,0,25]"
3,6.10,"[3,0,6.10,1,9] вошёл в канал","[1,0,6.73,9,18]
[4,0,15.70,0,1]
[2,0,100.00,0,25]"
4,6.73,"[3,0,6.73,1,9] очередь на канал
[1,0,6.73,9,18] вошёл на сервер","[3,0,7.83,9,18]
[4,0,15.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
5,7.83,"[3,0,7.83,9,18] вошёл на сервер","[4,0,15.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
6,15.70,"[3,0,15.70,9,18] очередь на сервер
[4,0,15.70,1,9] вошёл в канал","[4,0,17.43,9,18]
[5,0,17.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
7,17.43,"[3,0,17.43,9,18] очередь на сервер
[4,0,17.43,9,18] вошёл на сервер","[5,0,17.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
8,17.70,"[3,0,17.70,9,18] очередь на сервер
[4,0,17.70,9,18] очередь на сервер
[5,0,17.70,1,9] вошёл в канал","[5,0,19.43,9,18]
[6,0,26.60,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
9,19.43,"[3,0,19.43,9,18] очередь на сервер
[4,0,19.43,9,18] очередь на сервер
[5,0,19.43,9,18] вошёл на сервер","[6,0,26.60,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
10,26.60,"[3,0,26.60,9,18] очередь на сервер
[4,0,26.60,9,18] очередь на сервер
[5,0,26.60,9,18] очередь на сервер
[6,0,26.60,1,9] вошёл в канал","[7,0,27.70,0,1]
[6,0,28.33,9,18]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
11,27.70,"[3,0,27.70,9,18] очередь на сервер
[4,0,27.70,9,18] очередь на сервер
[5,0,27.70,9,18] очередь на сервер
[7,0,27.70,1,9] вошёл в канал","[6,0,28.33,9,18]
[8,0,29.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
12,28.33,"[3,0,28.33,9,18] очередь на сервер
[4,0,28.33,9,18] очередь на сервер
[5,0,28.33,9,18] очередь на сервер
[7,0,28.33,1,9] очередь на канал
[6,0,28.33,9,18] вошёл на сервер","[7,0,29.43,9,18]
[8,0,29.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
13,29.43,"[3,0,29.43,9,18] очередь на сервер
[4,0,29.43,9,18] очередь на сервер
[5,0,29.43,9,18] очередь на сервер
[6,0,29.43,9,18] очередь на сервер
[7,0,29.43,9,18] вошёл на сервер","[8,0,29.70,0,1]
[1,0,32.33,18,24]
[2,0,100.00,0,25]"
